"Tabela 7136 - Estudantes, por sexo e grupo de idade"
"Variável - Estudantes"
"Unidade da Federação";"Grupo de idade";"Ano x Sexo"
"Unidade da Federação";"Grupo de idade";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupo de idade";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Tocantins";"25 anos ou mais";"16";"Mil pessoas";"25";"Mil pessoas";"18";"Mil pessoas";"27";"Mil pessoas";"18";"Mil pessoas";"29";"Mil pessoas";"12";"Mil pessoas";"23";"Mil pessoas";"23";"Mil pessoas";"34";"Mil pessoas";"19";"Mil pessoas";"30";"Mil pessoas";"23";"Mil pessoas";"35";"Mil pessoas"
"Maranhão";"0 a 5 anos";"197";"Mil pessoas";"188";"Mil pessoas";"199";"Mil pessoas";"185";"Mil pessoas";"183";"Mil pessoas";"181";"Mil pessoas";"186";"Mil pessoas";"175";"Mil pessoas";"189";"Mil pessoas";"194";"Mil pessoas";"210";"Mil pessoas";"192";"Mil pessoas";"189";"Mil pessoas";"201";"Mil pessoas"
"Maranhão";"0 a 3 anos";"66";"Mil pessoas";"69";"Mil pessoas";"71";"Mil pessoas";"67";"Mil pessoas";"68";"Mil pessoas";"65";"Mil pessoas";"69";"Mil pessoas";"70";"Mil pessoas";"78";"Mil pessoas";"78";"Mil pessoas";"84";"Mil pessoas";"67";"Mil pessoas";"73";"Mil pessoas";"86";"Mil pessoas"
"Maranhão";"4 a 5 anos";"131";"Mil pessoas";"120";"Mil pessoas";"128";"Mil pessoas";"118";"Mil pessoas";"115";"Mil pessoas";"116";"Mil pessoas";"117";"Mil pessoas";"105";"Mil pessoas";"112";"Mil pessoas";"116";"Mil pessoas";"127";"Mil pessoas";"125";"Mil pessoas";"116";"Mil pessoas";"115";"Mil pessoas"
"Maranhão";"6 a 14 anos";"627";"Mil pessoas";"601";"Mil pessoas";"610";"Mil pessoas";"593";"Mil pessoas";"600";"Mil pessoas";"603";"Mil pessoas";"597";"Mil pessoas";"556";"Mil pessoas";"574";"Mil pessoas";"541";"Mil pessoas";"543";"Mil pessoas";"528";"Mil pessoas";"532";"Mil pessoas";"531";"Mil pessoas"
"Maranhão";"15 a 17 anos";"188";"Mil pessoas";"188";"Mil pessoas";"184";"Mil pessoas";"165";"Mil pessoas";"183";"Mil pessoas";"174";"Mil pessoas";"188";"Mil pessoas";"165";"Mil pessoas";"185";"Mil pessoas";"180";"Mil pessoas";"189";"Mil pessoas";"179";"Mil pessoas";"176";"Mil pessoas";"184";"Mil pessoas"
"Maranhão";"18 a 24 anos";"108";"Mil pessoas";"118";"Mil pessoas";"117";"Mil pessoas";"104";"Mil pessoas";"116";"Mil pessoas";"126";"Mil pessoas";"123";"Mil pessoas";"123";"Mil pessoas";"94";"Mil pessoas";"105";"Mil pessoas";"95";"Mil pessoas";"133";"Mil pessoas";"108";"Mil pessoas";"125";"Mil pessoas"
"Maranhão";"25 anos ou mais";"56";"Mil pessoas";"91";"Mil pessoas";"54";"Mil pessoas";"103";"Mil pessoas";"69";"Mil pessoas";"111";"Mil pessoas";"75";"Mil pessoas";"112";"Mil pessoas";"65";"Mil pessoas";"104";"Mil pessoas";"71";"Mil pessoas";"108";"Mil pessoas";"66";"Mil pessoas";"108";"Mil pessoas"
"Piauí";"0 a 5 anos";"75";"Mil pessoas";"72";"Mil pessoas";"74";"Mil pessoas";"72";"Mil pessoas";"70";"Mil pessoas";"75";"Mil pessoas";"78";"Mil pessoas";"90";"Mil pessoas";"82";"Mil pessoas";"68";"Mil pessoas";"89";"Mil pessoas";"86";"Mil pessoas";"88";"Mil pessoas";"81";"Mil pessoas"
"Piauí";"0 a 3 anos";"18";"Mil pessoas";"23";"Mil pessoas";"26";"Mil pessoas";"25";"Mil pessoas";"22";"Mil pessoas";"28";"Mil pessoas";"28";"Mil pessoas";"30";"Mil pessoas";"26";"Mil pessoas";"30";"Mil pessoas";"30";"Mil pessoas";"33";"Mil pessoas";"36";"Mil pessoas";"30";"Mil pessoas"
"Piauí";"4 a 5 anos";"57";"Mil pessoas";"49";"Mil pessoas";"48";"Mil pessoas";"47";"Mil pessoas";"48";"Mil pessoas";"47";"Mil pessoas";"49";"Mil pessoas";"60";"Mil pessoas";"56";"Mil pessoas";"38";"Mil pessoas";"59";"Mil pessoas";"52";"Mil pessoas";"51";"Mil pessoas";"51";"Mil pessoas"
"Piauí";"6 a 14 anos";"248";"Mil pessoas";"229";"Mil pessoas";"250";"Mil pessoas";"227";"Mil pessoas";"241";"Mil pessoas";"231";"Mil pessoas";"221";"Mil pessoas";"230";"Mil pessoas";"221";"Mil pessoas";"212";"Mil pessoas";"213";"Mil pessoas";"213";"Mil pessoas";"205";"Mil pessoas";"213";"Mil pessoas"
"Piauí";"15 a 17 anos";"77";"Mil pessoas";"70";"Mil pessoas";"83";"Mil pessoas";"76";"Mil pessoas";"84";"Mil pessoas";"73";"Mil pessoas";"73";"Mil pessoas";"60";"Mil pessoas";"81";"Mil pessoas";"61";"Mil pessoas";"74";"Mil pessoas";"68";"Mil pessoas";"70";"Mil pessoas";"69";"Mil pessoas"
"Piauí";"18 a 24 anos";"67";"Mil pessoas";"63";"Mil pessoas";"64";"Mil pessoas";"68";"Mil pessoas";"67";"Mil pessoas";"70";"Mil pessoas";"67";"Mil pessoas";"75";"Mil pessoas";"62";"Mil pessoas";"68";"Mil pessoas";"57";"Mil pessoas";"61";"Mil pessoas";"51";"Mil pessoas";"64";"Mil pessoas"
