"Tabela 7133 - Pessoas de 25 anos ou mais de idade, por sexo e grupos de anos de estudo"
"Variável - Pessoas de 25 anos ou mais de idade"
"Unidade da Federação";"Grupos de anos de estudo";"Ano x Sexo"
"Unidade da Federação";"Grupos de anos de estudo";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Grupos de anos de estudo";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Paraíba";"5 a 8 anos";"253";"Mil pessoas";"287";"Mil pessoas";"232";"Mil pessoas";"283";"Mil pessoas";"242";"Mil pessoas";"299";"Mil pessoas";"257";"Mil pessoas";"290";"Mil pessoas";"259";"Mil pessoas";"287";"Mil pessoas";"254";"Mil pessoas";"282";"Mil pessoas";"244";"Mil pessoas";"254";"Mil pessoas"
"Paraíba";"9 a 11 anos";"110";"Mil pessoas";"130";"Mil pessoas";"116";"Mil pessoas";"137";"Mil pessoas";"99";"Mil pessoas";"123";"Mil pessoas";"110";"Mil pessoas";"122";"Mil pessoas";"128";"Mil pessoas";"143";"Mil pessoas";"124";"Mil pessoas";"154";"Mil pessoas";"133";"Mil pessoas";"153";"Mil pessoas"
"Paraíba";"12 anos ou mais";"349";"Mil pessoas";"471";"Mil pessoas";"381";"Mil pessoas";"496";"Mil pessoas";"386";"Mil pessoas";"532";"Mil pessoas";"401";"Mil pessoas";"533";"Mil pessoas";"439";"Mil pessoas";"575";"Mil pessoas";"458";"Mil pessoas";"617";"Mil pessoas";"483";"Mil pessoas";"657";"Mil pessoas"
"Pernambuco";"Sem instrução ou menos de 5 anos";"751";"Mil pessoas";"743";"Mil pessoas";"694";"Mil pessoas";"720";"Mil pessoas";"656";"Mil pessoas";"649";"Mil pessoas";"637";"Mil pessoas";"655";"Mil pessoas";"675";"Mil pessoas";"657";"Mil pessoas";"638";"Mil pessoas";"628";"Mil pessoas";"640";"Mil pessoas";"603";"Mil pessoas"
"Pernambuco";"5 a 8 anos";"575";"Mil pessoas";"640";"Mil pessoas";"624";"Mil pessoas";"671";"Mil pessoas";"609";"Mil pessoas";"666";"Mil pessoas";"614";"Mil pessoas";"637";"Mil pessoas";"576";"Mil pessoas";"642";"Mil pessoas";"622";"Mil pessoas";"621";"Mil pessoas";"605";"Mil pessoas";"657";"Mil pessoas"
"Pernambuco";"9 a 11 anos";"289";"Mil pessoas";"302";"Mil pessoas";"294";"Mil pessoas";"308";"Mil pessoas";"288";"Mil pessoas";"317";"Mil pessoas";"288";"Mil pessoas";"315";"Mil pessoas";"318";"Mil pessoas";"346";"Mil pessoas";"318";"Mil pessoas";"331";"Mil pessoas";"289";"Mil pessoas";"347";"Mil pessoas"
"Pernambuco";"12 anos ou mais";"977";"Mil pessoas";"1330";"Mil pessoas";"1006";"Mil pessoas";"1351";"Mil pessoas";"1136";"Mil pessoas";"1462";"Mil pessoas";"1146";"Mil pessoas";"1515";"Mil pessoas";"1219";"Mil pessoas";"1625";"Mil pessoas";"1314";"Mil pessoas";"1730";"Mil pessoas";"1343";"Mil pessoas";"1761";"Mil pessoas"
"Alagoas";"Sem instrução ou menos de 5 anos";"320";"Mil pessoas";"337";"Mil pessoas";"314";"Mil pessoas";"322";"Mil pessoas";"300";"Mil pessoas";"303";"Mil pessoas";"302";"Mil pessoas";"310";"Mil pessoas";"270";"Mil pessoas";"269";"Mil pessoas";"266";"Mil pessoas";"260";"Mil pessoas";"273";"Mil pessoas";"281";"Mil pessoas"
"Alagoas";"5 a 8 anos";"191";"Mil pessoas";"206";"Mil pessoas";"214";"Mil pessoas";"232";"Mil pessoas";"223";"Mil pessoas";"232";"Mil pessoas";"203";"Mil pessoas";"219";"Mil pessoas";"210";"Mil pessoas";"212";"Mil pessoas";"192";"Mil pessoas";"200";"Mil pessoas";"180";"Mil pessoas";"184";"Mil pessoas"
"Alagoas";"9 a 11 anos";"94";"Mil pessoas";"102";"Mil pessoas";"95";"Mil pessoas";"103";"Mil pessoas";"91";"Mil pessoas";"107";"Mil pessoas";"102";"Mil pessoas";"114";"Mil pessoas";"109";"Mil pessoas";"120";"Mil pessoas";"106";"Mil pessoas";"130";"Mil pessoas";"102";"Mil pessoas";"115";"Mil pessoas"
"Alagoas";"12 anos ou mais";"253";"Mil pessoas";"338";"Mil pessoas";"268";"Mil pessoas";"365";"Mil pessoas";"292";"Mil pessoas";"391";"Mil pessoas";"304";"Mil pessoas";"407";"Mil pessoas";"352";"Mil pessoas";"469";"Mil pessoas";"367";"Mil pessoas";"493";"Mil pessoas";"391";"Mil pessoas";"523";"Mil pessoas"
"Sergipe";"Sem instrução ou menos de 5 anos";"199";"Mil pessoas";"188";"Mil pessoas";"190";"Mil pessoas";"181";"Mil pessoas";"191";"Mil pessoas";"183";"Mil pessoas";"181";"Mil pessoas";"176";"Mil pessoas";"178";"Mil pessoas";"156";"Mil pessoas";"170";"Mil pessoas";"157";"Mil pessoas";"174";"Mil pessoas";"180";"Mil pessoas"
"Sergipe";"5 a 8 anos";"133";"Mil pessoas";"146";"Mil pessoas";"145";"Mil pessoas";"156";"Mil pessoas";"135";"Mil pessoas";"155";"Mil pessoas";"151";"Mil pessoas";"157";"Mil pessoas";"156";"Mil pessoas";"162";"Mil pessoas";"132";"Mil pessoas";"148";"Mil pessoas";"133";"Mil pessoas";"134";"Mil pessoas"
"Sergipe";"9 a 11 anos";"59";"Mil pessoas";"75";"Mil pessoas";"75";"Mil pessoas";"80";"Mil pessoas";"70";"Mil pessoas";"79";"Mil pessoas";"69";"Mil pessoas";"73";"Mil pessoas";"78";"Mil pessoas";"82";"Mil pessoas";"78";"Mil pessoas";"86";"Mil pessoas";"82";"Mil pessoas";"83";"Mil pessoas"
"Sergipe";"12 anos ou mais";"222";"Mil pessoas";"288";"Mil pessoas";"228";"Mil pessoas";"285";"Mil pessoas";"226";"Mil pessoas";"292";"Mil pessoas";"245";"Mil pessoas";"320";"Mil pessoas";"282";"Mil pessoas";"349";"Mil pessoas";"286";"Mil pessoas";"384";"Mil pessoas";"309";"Mil pessoas";"394";"Mil pessoas"
"Bahia";"Sem instrução ou menos de 5 anos";"1309";"Mil pessoas";"1244";"Mil pessoas";"1270";"Mil pessoas";"1189";"Mil pessoas";"1274";"Mil pessoas";"1185";"Mil pessoas";"1240";"Mil pessoas";"1169";"Mil pessoas";"1166";"Mil pessoas";"1051";"Mil pessoas";"1164";"Mil pessoas";"1110";"Mil pessoas";"1094";"Mil pessoas";"1045";"Mil pessoas"
"Bahia";"5 a 8 anos";"924";"Mil pessoas";"888";"Mil pessoas";"999";"Mil pessoas";"943";"Mil pessoas";"1019";"Mil pessoas";"924";"Mil pessoas";"995";"Mil pessoas";"934";"Mil pessoas";"959";"Mil pessoas";"909";"Mil pessoas";"957";"Mil pessoas";"924";"Mil pessoas";"927";"Mil pessoas";"842";"Mil pessoas"
