"Tabela 7128 - Pessoas de 14 anos ou mais de idade, por sexo e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Sexo"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres";;"Homens";;"Mulheres"
"Maranhão";"Ensino médio completo ou equivalente";"547";"Mil pessoas";"679";"Mil pessoas";"592";"Mil pessoas";"734";"Mil pessoas";"601";"Mil pessoas";"743";"Mil pessoas";"653";"Mil pessoas";"795";"Mil pessoas";"734";"Mil pessoas";"891";"Mil pessoas";"763";"Mil pessoas";"896";"Mil pessoas";"793";"Mil pessoas";"914";"Mil pessoas"
"Maranhão";"Ensino superior incompleto ou equivalente";"56";"Mil pessoas";"87";"Mil pessoas";"64";"Mil pessoas";"86";"Mil pessoas";"82";"Mil pessoas";"113";"Mil pessoas";"76";"Mil pessoas";"113";"Mil pessoas";"80";"Mil pessoas";"113";"Mil pessoas";"92";"Mil pessoas";"126";"Mil pessoas";"93";"Mil pessoas";"120";"Mil pessoas"
"Maranhão";"Superior completo";"92";"Mil pessoas";"175";"Mil pessoas";"101";"Mil pessoas";"191";"Mil pessoas";"117";"Mil pessoas";"224";"Mil pessoas";"121";"Mil pessoas";"248";"Mil pessoas";"181";"Mil pessoas";"312";"Mil pessoas";"183";"Mil pessoas";"351";"Mil pessoas";"206";"Mil pessoas";"353";"Mil pessoas"
"Piauí";"Sem instrução";"141";"Mil pessoas";"130";"Mil pessoas";"131";"Mil pessoas";"117";"Mil pessoas";"117";"Mil pessoas";"120";"Mil pessoas";"115";"Mil pessoas";"109";"Mil pessoas";"141";"Mil pessoas";"140";"Mil pessoas";"134";"Mil pessoas";"131";"Mil pessoas";"102";"Mil pessoas";"100";"Mil pessoas"
"Piauí";"Ensino fundamental incompleto ou equivalente";"526";"Mil pessoas";"467";"Mil pessoas";"528";"Mil pessoas";"451";"Mil pessoas";"536";"Mil pessoas";"436";"Mil pessoas";"525";"Mil pessoas";"443";"Mil pessoas";"478";"Mil pessoas";"395";"Mil pessoas";"439";"Mil pessoas";"391";"Mil pessoas";"467";"Mil pessoas";"393";"Mil pessoas"
"Piauí";"Ensino fundamental completo ou equivalente";"113";"Mil pessoas";"107";"Mil pessoas";"115";"Mil pessoas";"117";"Mil pessoas";"117";"Mil pessoas";"116";"Mil pessoas";"104";"Mil pessoas";"106";"Mil pessoas";"93";"Mil pessoas";"108";"Mil pessoas";"112";"Mil pessoas";"88";"Mil pessoas";"106";"Mil pessoas";"104";"Mil pessoas"
"Piauí";"Ensino médio incompleto ou equivalente";"109";"Mil pessoas";"109";"Mil pessoas";"104";"Mil pessoas";"103";"Mil pessoas";"101";"Mil pessoas";"109";"Mil pessoas";"107";"Mil pessoas";"103";"Mil pessoas";"118";"Mil pessoas";"102";"Mil pessoas";"112";"Mil pessoas";"99";"Mil pessoas";"119";"Mil pessoas";"113";"Mil pessoas"
"Piauí";"Ensino médio completo ou equivalente";"216";"Mil pessoas";"293";"Mil pessoas";"228";"Mil pessoas";"318";"Mil pessoas";"245";"Mil pessoas";"306";"Mil pessoas";"247";"Mil pessoas";"316";"Mil pessoas";"276";"Mil pessoas";"338";"Mil pessoas";"307";"Mil pessoas";"369";"Mil pessoas";"300";"Mil pessoas";"374";"Mil pessoas"
"Piauí";"Ensino superior incompleto ou equivalente";"43";"Mil pessoas";"55";"Mil pessoas";"35";"Mil pessoas";"58";"Mil pessoas";"44";"Mil pessoas";"65";"Mil pessoas";"56";"Mil pessoas";"73";"Mil pessoas";"48";"Mil pessoas";"62";"Mil pessoas";"53";"Mil pessoas";"66";"Mil pessoas";"61";"Mil pessoas";"70";"Mil pessoas"
"Piauí";"Superior completo";"82";"Mil pessoas";"134";"Mil pessoas";"80";"Mil pessoas";"153";"Mil pessoas";"84";"Mil pessoas";"154";"Mil pessoas";"91";"Mil pessoas";"159";"Mil pessoas";"134";"Mil pessoas";"205";"Mil pessoas";"134";"Mil pessoas";"206";"Mil pessoas";"123";"Mil pessoas";"213";"Mil pessoas"
