"Tabela 6731 - Domicílios e Moradores, por situação do domicílio e principal fonte de abastecimento de água"
"Variável - Domicílios"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Ano x Situação do domicílio"
"Unidade da Federação";"Principal fonte de abastecimento de água";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Principal fonte de abastecimento de água";"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural";;"Urbana";;"Rural"
"Maranhão";"Fonte ou nascente";"1";"Mil unidades";"13";"Mil unidades";"1";"Mil unidades";"17";"Mil unidades";"1";"Mil unidades";"19";"Mil unidades";"1";"Mil unidades";"18";"Mil unidades";"2";"Mil unidades";"16";"Mil unidades";"1";"Mil unidades";"17";"Mil unidades";"3";"Mil unidades";"16";"Mil unidades"
"Maranhão";"Outra";"14";"Mil unidades";"17";"Mil unidades";"8";"Mil unidades";"15";"Mil unidades";"12";"Mil unidades";"16";"Mil unidades";"13";"Mil unidades";"16";"Mil unidades";"7";"Mil unidades";"14";"Mil unidades";"7";"Mil unidades";"17";"Mil unidades";"9";"Mil unidades";"12";"Mil unidades"
"Piauí";"Total";"655";"Mil unidades";"341";"Mil unidades";"671";"Mil unidades";"340";"Mil unidades";"659";"Mil unidades";"340";"Mil unidades";"667";"Mil unidades";"353";"Mil unidades";"718";"Mil unidades";"330";"Mil unidades";"788";"Mil unidades";"355";"Mil unidades";"819";"Mil unidades";"326";"Mil unidades"
"Piauí";"Rede geral de distribuição";"637";"Mil unidades";"171";"Mil unidades";"660";"Mil unidades";"187";"Mil unidades";"640";"Mil unidades";"208";"Mil unidades";"646";"Mil unidades";"223";"Mil unidades";"679";"Mil unidades";"173";"Mil unidades";"774";"Mil unidades";"167";"Mil unidades";"790";"Mil unidades";"177";"Mil unidades"
"Piauí";"Poço profundo ou artesiano";"10";"Mil unidades";"98";"Mil unidades";"3";"Mil unidades";"64";"Mil unidades";"7";"Mil unidades";"61";"Mil unidades";"15";"Mil unidades";"64";"Mil unidades";"26";"Mil unidades";"96";"Mil unidades";"11";"Mil unidades";"106";"Mil unidades";"18";"Mil unidades";"94";"Mil unidades"
"Piauí";"Poço raso, freático ou cacimba";"4";"Mil unidades";"21";"Mil unidades";"6";"Mil unidades";"25";"Mil unidades";"9";"Mil unidades";"23";"Mil unidades";"4";"Mil unidades";"22";"Mil unidades";"8";"Mil unidades";"14";"Mil unidades";"3";"Mil unidades";"18";"Mil unidades";"3";"Mil unidades";"10";"Mil unidades"
"Piauí";"Fonte ou nascente";"-";"Mil unidades";"4";"Mil unidades";"-";"Mil unidades";"3";"Mil unidades";"-";"Mil unidades";"6";"Mil unidades";"-";"Mil unidades";"2";"Mil unidades";"-";"Mil unidades";"7";"Mil unidades";"-";"Mil unidades";"5";"Mil unidades";"-";"Mil unidades";"7";"Mil unidades"
"Piauí";"Outra";"4";"Mil unidades";"47";"Mil unidades";"2";"Mil unidades";"61";"Mil unidades";"3";"Mil unidades";"43";"Mil unidades";"3";"Mil unidades";"42";"Mil unidades";"5";"Mil unidades";"40";"Mil unidades";"-";"Mil unidades";"58";"Mil unidades";"9";"Mil unidades";"39";"Mil unidades"
"Ceará";"Total";"2131";"Mil unidades";"624";"Mil unidades";"2151";"Mil unidades";"638";"Mil unidades";"2219";"Mil unidades";"666";"Mil unidades";"2199";"Mil unidades";"670";"Mil unidades";"2405";"Mil unidades";"629";"Mil unidades";"2543";"Mil unidades";"687";"Mil unidades";"2571";"Mil unidades";"695";"Mil unidades"
"Ceará";"Rede geral de distribuição";"1971";"Mil unidades";"221";"Mil unidades";"1967";"Mil unidades";"250";"Mil unidades";"2042";"Mil unidades";"246";"Mil unidades";"2022";"Mil unidades";"239";"Mil unidades";"2190";"Mil unidades";"312";"Mil unidades";"2327";"Mil unidades";"336";"Mil unidades";"2394";"Mil unidades";"309";"Mil unidades"
"Ceará";"Poço profundo ou artesiano";"89";"Mil unidades";"160";"Mil unidades";"105";"Mil unidades";"178";"Mil unidades";"111";"Mil unidades";"184";"Mil unidades";"107";"Mil unidades";"207";"Mil unidades";"129";"Mil unidades";"155";"Mil unidades";"138";"Mil unidades";"167";"Mil unidades";"105";"Mil unidades";"200";"Mil unidades"
"Ceará";"Poço raso, freático ou cacimba";"43";"Mil unidades";"93";"Mil unidades";"45";"Mil unidades";"76";"Mil unidades";"33";"Mil unidades";"99";"Mil unidades";"44";"Mil unidades";"85";"Mil unidades";"63";"Mil unidades";"72";"Mil unidades";"48";"Mil unidades";"61";"Mil unidades";"50";"Mil unidades";"65";"Mil unidades"
"Ceará";"Fonte ou nascente";"2";"Mil unidades";"15";"Mil unidades";"2";"Mil unidades";"12";"Mil unidades";"6";"Mil unidades";"18";"Mil unidades";"4";"Mil unidades";"24";"Mil unidades";"4";"Mil unidades";"20";"Mil unidades";"7";"Mil unidades";"30";"Mil unidades";"3";"Mil unidades";"37";"Mil unidades"
"Ceará";"Outra";"25";"Mil unidades";"134";"Mil unidades";"32";"Mil unidades";"121";"Mil unidades";"25";"Mil unidades";"119";"Mil unidades";"22";"Mil unidades";"116";"Mil unidades";"20";"Mil unidades";"70";"Mil unidades";"23";"Mil unidades";"93";"Mil unidades";"18";"Mil unidades";"84";"Mil unidades"
"Rio Grande do Norte";"Total";"808";"Mil unidades";"226";"Mil unidades";"816";"Mil unidades";"222";"Mil unidades";"823";"Mil unidades";"223";"Mil unidades";"852";"Mil unidades";"231";"Mil unidades";"936";"Mil unidades";"205";"Mil unidades";"978";"Mil unidades";"212";"Mil unidades";"1033";"Mil unidades";"206";"Mil unidades"
"Rio Grande do Norte";"Rede geral de distribuição";"759";"Mil unidades";"116";"Mil unidades";"766";"Mil unidades";"111";"Mil unidades";"778";"Mil unidades";"114";"Mil unidades";"808";"Mil unidades";"131";"Mil unidades";"907";"Mil unidades";"112";"Mil unidades";"948";"Mil unidades";"105";"Mil unidades";"984";"Mil unidades";"90";"Mil unidades"
"Rio Grande do Norte";"Poço profundo ou artesiano";"9";"Mil unidades";"41";"Mil unidades";"8";"Mil unidades";"46";"Mil unidades";"16";"Mil unidades";"40";"Mil unidades";"20";"Mil unidades";"28";"Mil unidades";"11";"Mil unidades";"35";"Mil unidades";"14";"Mil unidades";"49";"Mil unidades";"19";"Mil unidades";"65";"Mil unidades"
"Rio Grande do Norte";"Poço raso, freático ou cacimba";"1";"Mil unidades";"8";"Mil unidades";"8";"Mil unidades";"7";"Mil unidades";"4";"Mil unidades";"14";"Mil unidades";"4";"Mil unidades";"13";"Mil unidades";"7";"Mil unidades";"16";"Mil unidades";"3";"Mil unidades";"23";"Mil unidades";"9";"Mil unidades";"12";"Mil unidades"
"Rio Grande do Norte";"Fonte ou nascente";"-";"Mil unidades";"1";"Mil unidades";"2";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"-";"Mil unidades";"0";"Mil unidades";"-";"Mil unidades";"4";"Mil unidades";"1";"Mil unidades";"1";"Mil unidades";"-";"Mil unidades";"7";"Mil unidades"
"Rio Grande do Norte";"Outra";"38";"Mil unidades";"60";"Mil unidades";"32";"Mil unidades";"58";"Mil unidades";"25";"Mil unidades";"54";"Mil unidades";"20";"Mil unidades";"58";"Mil unidades";"11";"Mil unidades";"38";"Mil unidades";"13";"Mil unidades";"35";"Mil unidades";"22";"Mil unidades";"32";"Mil unidades"
