"Tabela 7129 - Pessoas de 14 anos ou mais de idade, por cor ou raça e nível de instrução"
"Variável - Pessoas de 14 anos ou mais de idade"
"Unidade da Federação";"Nível de instrução";"Ano x Cor ou raça"
"Unidade da Federação";"Nível de instrução";"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Nível de instrução";"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda";;"Branca";;"Preta ou parda"
"Tocantins";"Ensino superior incompleto ou equivalente";"15";"Mil pessoas";"39";"Mil pessoas";"14";"Mil pessoas";"45";"Mil pessoas";"20";"Mil pessoas";"37";"Mil pessoas";"15";"Mil pessoas";"37";"Mil pessoas";"20";"Mil pessoas";"56";"Mil pessoas";"20";"Mil pessoas";"47";"Mil pessoas";"21";"Mil pessoas";"59";"Mil pessoas"
"Tocantins";"Superior completo";"36";"Mil pessoas";"69";"Mil pessoas";"43";"Mil pessoas";"84";"Mil pessoas";"50";"Mil pessoas";"92";"Mil pessoas";"51";"Mil pessoas";"95";"Mil pessoas";"62";"Mil pessoas";"130";"Mil pessoas";"62";"Mil pessoas";"134";"Mil pessoas";"68";"Mil pessoas";"135";"Mil pessoas"
"Maranhão";"Sem instrução";"102";"Mil pessoas";"544";"Mil pessoas";"93";"Mil pessoas";"547";"Mil pessoas";"90";"Mil pessoas";"517";"Mil pessoas";"87";"Mil pessoas";"524";"Mil pessoas";"76";"Mil pessoas";"458";"Mil pessoas";"76";"Mil pessoas";"455";"Mil pessoas";"71";"Mil pessoas";"449";"Mil pessoas"
"Maranhão";"Ensino fundamental incompleto ou equivalente";"291";"Mil pessoas";"1467";"Mil pessoas";"268";"Mil pessoas";"1463";"Mil pessoas";"257";"Mil pessoas";"1456";"Mil pessoas";"254";"Mil pessoas";"1397";"Mil pessoas";"234";"Mil pessoas";"1332";"Mil pessoas";"228";"Mil pessoas";"1344";"Mil pessoas";"223";"Mil pessoas";"1338";"Mil pessoas"
"Maranhão";"Ensino fundamental completo ou equivalente";"101";"Mil pessoas";"423";"Mil pessoas";"77";"Mil pessoas";"409";"Mil pessoas";"84";"Mil pessoas";"389";"Mil pessoas";"82";"Mil pessoas";"400";"Mil pessoas";"83";"Mil pessoas";"422";"Mil pessoas";"77";"Mil pessoas";"421";"Mil pessoas";"74";"Mil pessoas";"447";"Mil pessoas"
"Maranhão";"Ensino médio incompleto ou equivalente";"92";"Mil pessoas";"385";"Mil pessoas";"71";"Mil pessoas";"406";"Mil pessoas";"88";"Mil pessoas";"424";"Mil pessoas";"92";"Mil pessoas";"429";"Mil pessoas";"85";"Mil pessoas";"423";"Mil pessoas";"77";"Mil pessoas";"425";"Mil pessoas";"78";"Mil pessoas";"428";"Mil pessoas"
"Maranhão";"Ensino médio completo ou equivalente";"264";"Mil pessoas";"957";"Mil pessoas";"251";"Mil pessoas";"1068";"Mil pessoas";"264";"Mil pessoas";"1063";"Mil pessoas";"291";"Mil pessoas";"1139";"Mil pessoas";"286";"Mil pessoas";"1320";"Mil pessoas";"296";"Mil pessoas";"1338";"Mil pessoas";"314";"Mil pessoas";"1378";"Mil pessoas"
"Maranhão";"Ensino superior incompleto ou equivalente";"36";"Mil pessoas";"106";"Mil pessoas";"38";"Mil pessoas";"111";"Mil pessoas";"53";"Mil pessoas";"141";"Mil pessoas";"53";"Mil pessoas";"136";"Mil pessoas";"45";"Mil pessoas";"144";"Mil pessoas";"53";"Mil pessoas";"162";"Mil pessoas";"48";"Mil pessoas";"164";"Mil pessoas"
"Maranhão";"Superior completo";"79";"Mil pessoas";"186";"Mil pessoas";"89";"Mil pessoas";"201";"Mil pessoas";"97";"Mil pessoas";"239";"Mil pessoas";"105";"Mil pessoas";"261";"Mil pessoas";"140";"Mil pessoas";"348";"Mil pessoas";"167";"Mil pessoas";"355";"Mil pessoas";"171";"Mil pessoas";"385";"Mil pessoas"
"Piauí";"Sem instrução";"46";"Mil pessoas";"224";"Mil pessoas";"48";"Mil pessoas";"199";"Mil pessoas";"43";"Mil pessoas";"193";"Mil pessoas";"37";"Mil pessoas";"187";"Mil pessoas";"53";"Mil pessoas";"227";"Mil pessoas";"51";"Mil pessoas";"214";"Mil pessoas";"35";"Mil pessoas";"167";"Mil pessoas"
