"Tabela 7444 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, de todos os trabalhos, a preços médios do último ano, por sexo",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Variável - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido em todos os trabalhos, a preços médios do último ano",,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Sexo,,
UF,15,Pará,2013,Mulheres,1896.0,Reais
UF,15,Pará,2014,Homens,2288.0,Reais
UF,15,Pará,2014,Mulheres,1864.0,Reais
UF,15,Pará,2015,Homens,2130.0,Reais
UF,15,Pará,2015,Mulheres,1811.0,Reais
UF,15,Pará,2016,Homens,2057.0,Reais
UF,15,Pará,2016,Mulheres,1749.0,Reais
UF,15,Pará,2017,Homens,2021.0,Reais
UF,15,Pará,2017,Mulheres,1790.0,Reais
UF,15,Pará,2018,Homens,2421.0,Reais
UF,15,Pará,2018,Mulheres,1926.0,Reais
UF,15,Pará,2019,Homens,1993.0,Reais
UF,15,Pará,2019,Mulheres,1898.0,Reais
UF,15,Pará,2020,Homens,2170.0,Reais
UF,15,Pará,2020,Mulheres,2064.0,Reais
UF,15,Pará,2021,Homens,2122.0,Reais
UF,15,Pará,2021,Mulheres,1879.0,Reais
UF,15,Pará,2022,Homens,2198.0,Reais
UF,15,Pará,2022,Mulheres,1908.0,Reais
UF,15,Pará,2023,Homens,2477.0,Reais
UF,15,Pará,2023,Mulheres,2198.0,Reais
UF,15,Pará,2024,Homens,2417.0,Reais
UF,15,Pará,2024,Mulheres,2028.0,Reais
UF,16,Amapá,2012,Homens,2743.0,Reais
UF,16,Amapá,2012,Mulheres,2404.0,Reais
UF,16,Amapá,2013,Homens,2984.0,Reais
UF,16,Amapá,2013,Mulheres,2541.0,Reais
UF,16,Amapá,2014,Homens,2943.0,Reais
UF,16,Amapá,2014,Mulheres,2772.0,Reais
UF,16,Amapá,2015,Homens,2988.0,Reais
UF,16,Amapá,2015,Mulheres,2748.0,Reais
UF,16,Amapá,2016,Homens,2829.0,Reais
UF,16,Amapá,2016,Mulheres,2836.0,Reais
UF,16,Amapá,2017,Homens,2953.0,Reais
UF,16,Amapá,2017,Mulheres,2933.0,Reais
UF,16,Amapá,2018,Homens,2583.0,Reais
UF,16,Amapá,2018,Mulheres,2743.0,Reais
UF,16,Amapá,2019,Homens,2509.0,Reais
UF,16,Amapá,2019,Mulheres,2438.0,Reais
UF,16,Amapá,2020,Homens,2581.0,Reais
UF,16,Amapá,2020,Mulheres,2485.0,Reais
UF,16,Amapá,2021,Homens,2381.0,Reais
UF,16,Amapá,2021,Mulheres,2302.0,Reais
UF,16,Amapá,2022,Homens,2589.0,Reais
UF,16,Amapá,2022,Mulheres,2576.0,Reais
UF,16,Amapá,2023,Homens,2848.0,Reais
UF,16,Amapá,2023,Mulheres,3102.0,Reais
UF,16,Amapá,2024,Homens,3058.0,Reais
UF,16,Amapá,2024,Mulheres,2542.0,Reais
UF,17,Tocantins,2012,Homens,2516.0,Reais
UF,17,Tocantins,2012,Mulheres,2060.0,Reais
UF,17,Tocantins,2013,Homens,2627.0,Reais
UF,17,Tocantins,2013,Mulheres,1873.0,Reais
UF,17,Tocantins,2014,Homens,2738.0,Reais
UF,17,Tocantins,2014,Mulheres,2240.0,Reais
UF,17,Tocantins,2015,Homens,2675.0,Reais
UF,17,Tocantins,2015,Mulheres,2328.0,Reais
UF,17,Tocantins,2016,Homens,2430.0,Reais
UF,17,Tocantins,2016,Mulheres,2097.0,Reais
UF,17,Tocantins,2017,Homens,2503.0,Reais
UF,17,Tocantins,2017,Mulheres,2123.0,Reais
UF,17,Tocantins,2018,Homens,2777.0,Reais
UF,17,Tocantins,2018,Mulheres,2379.0,Reais
UF,17,Tocantins,2019,Homens,2501.0,Reais
UF,17,Tocantins,2019,Mulheres,2370.0,Reais
UF,17,Tocantins,2020,Homens,2586.0,Reais
UF,17,Tocantins,2020,Mulheres,2367.0,Reais
UF,17,Tocantins,2021,Homens,2511.0,Reais
UF,17,Tocantins,2021,Mulheres,2495.0,Reais
UF,17,Tocantins,2022,Homens,2876.0,Reais
UF,17,Tocantins,2022,Mulheres,2331.0,Reais
UF,17,Tocantins,2023,Homens,3043.0,Reais
UF,17,Tocantins,2023,Mulheres,2386.0,Reais
UF,17,Tocantins,2024,Homens,2986.0,Reais
UF,17,Tocantins,2024,Mulheres,2490.0,Reais
UF,21,Maranhão,2012,Homens,1681.0,Reais
UF,21,Maranhão,2012,Mulheres,1377.0,Reais
UF,21,Maranhão,2013,Homens,1749.0,Reais
UF,21,Maranhão,2013,Mulheres,1463.0,Reais
UF,21,Maranhão,2014,Homens,1666.0,Reais
UF,21,Maranhão,2014,Mulheres,1431.0,Reais
UF,21,Maranhão,2015,Homens,1689.0,Reais
UF,21,Maranhão,2015,Mulheres,1469.0,Reais
UF,21,Maranhão,2016,Homens,1751.0,Reais
UF,21,Maranhão,2016,Mulheres,1582.0,Reais
UF,21,Maranhão,2017,Homens,1806.0,Reais
UF,21,Maranhão,2017,Mulheres,1600.0,Reais
UF,21,Maranhão,2018,Homens,1824.0,Reais
UF,21,Maranhão,2018,Mulheres,1672.0,Reais
UF,21,Maranhão,2019,Homens,1802.0,Reais
UF,21,Maranhão,2019,Mulheres,1671.0,Reais
UF,21,Maranhão,2020,Homens,1862.0,Reais
UF,21,Maranhão,2020,Mulheres,1733.0,Reais
UF,21,Maranhão,2021,Homens,1816.0,Reais
UF,21,Maranhão,2021,Mulheres,1691.0,Reais
UF,21,Maranhão,2022,Homens,1885.0,Reais
UF,21,Maranhão,2022,Mulheres,1651.0,Reais
UF,21,Maranhão,2023,Homens,2069.0,Reais
UF,21,Maranhão,2023,Mulheres,1812.0,Reais
UF,21,Maranhão,2024,Homens,2121.0,Reais
UF,21,Maranhão,2024,Mulheres,1940.0,Reais
UF,22,Piauí,2012,Homens,1793.0,Reais
UF,22,Piauí,2012,Mulheres,1422.0,Reais
UF,22,Piauí,2013,Homens,2070.0,Reais
UF,22,Piauí,2013,Mulheres,1750.0,Reais
UF,22,Piauí,2014,Homens,1919.0,Reais
UF,22,Piauí,2014,Mulheres,1737.0,Reais
UF,22,Piauí,2015,Homens,2092.0,Reais
UF,22,Piauí,2015,Mulheres,1636.0,Reais
UF,22,Piauí,2016,Homens,1963.0,Reais
UF,22,Piauí,2016,Mulheres,1772.0,Reais
UF,22,Piauí,2017,Homens,1887.0,Reais
UF,22,Piauí,2017,Mulheres,1733.0,Reais
UF,22,Piauí,2018,Homens,2062.0,Reais
UF,22,Piauí,2018,Mulheres,1837.0,Reais
UF,22,Piauí,2019,Homens,1939.0,Reais
UF,22,Piauí,2019,Mulheres,1680.0,Reais
UF,22,Piauí,2020,Homens,1930.0,Reais
UF,22,Piauí,2020,Mulheres,1633.0,Reais
UF,22,Piauí,2021,Homens,1808.0,Reais
UF,22,Piauí,2021,Mulheres,1722.0,Reais
UF,22,Piauí,2022,Homens,2242.0,Reais
UF,22,Piauí,2022,Mulheres,1895.0,Reais
UF,22,Piauí,2023,Homens,2536.0,Reais
UF,22,Piauí,2023,Mulheres,2194.0,Reais
UF,22,Piauí,2024,Homens,2360.0,Reais
UF,22,Piauí,2024,Mulheres,1967.0,Reais
UF,23,Ceará,2012,Homens,2122.0,Reais
UF,23,Ceará,2012,Mulheres,1806.0,Reais
UF,23,Ceará,2013,Homens,2158.0,Reais
UF,23,Ceará,2013,Mulheres,1845.0,Reais
UF,23,Ceará,2014,Homens,2183.0,Reais
UF,23,Ceará,2014,Mulheres,1719.0,Reais
UF,23,Ceará,2015,Homens,2181.0,Reais
UF,23,Ceará,2015,Mulheres,1860.0,Reais
UF,23,Ceará,2016,Homens,2131.0,Reais
UF,23,Ceará,2016,Mulheres,1806.0,Reais
UF,23,Ceará,2017,Homens,2280.0,Reais
UF,23,Ceará,2017,Mulheres,1840.0,Reais
UF,23,Ceará,2018,Homens,2228.0,Reais
UF,23,Ceará,2018,Mulheres,1770.0,Reais
UF,23,Ceará,2019,Homens,2336.0,Reais
UF,23,Ceará,2019,Mulheres,1981.0,Reais
UF,23,Ceará,2020,Homens,2535.0,Reais
UF,23,Ceará,2020,Mulheres,2229.0,Reais
UF,23,Ceará,2021,Homens,2286.0,Reais
UF,23,Ceará,2021,Mulheres,1974.0,Reais
UF,23,Ceará,2022,Homens,2049.0,Reais
UF,23,Ceará,2022,Mulheres,1828.0,Reais
UF,23,Ceará,2023,Homens,2103.0,Reais
UF,23,Ceará,2023,Mulheres,1888.0,Reais
UF,23,Ceará,2024,Homens,2225.0,Reais
UF,23,Ceará,2024,Mulheres,1856.0,Reais
UF,24,Rio Grande do Norte,2012,Homens,2175.0,Reais
UF,24,Rio Grande do Norte,2012,Mulheres,1740.0,Reais
UF,24,Rio Grande do Norte,2013,Homens,2257.0,Reais
UF,24,Rio Grande do Norte,2013,Mulheres,1878.0,Reais
UF,24,Rio Grande do Norte,2014,Homens,2448.0,Reais
UF,24,Rio Grande do Norte,2014,Mulheres,1850.0,Reais
UF,24,Rio Grande do Norte,2015,Homens,2516.0,Reais
UF,24,Rio Grande do Norte,2015,Mulheres,1960.0,Reais
UF,24,Rio Grande do Norte,2016,Homens,2480.0,Reais
UF,24,Rio Grande do Norte,2016,Mulheres,2123.0,Reais
UF,24,Rio Grande do Norte,2017,Homens,2313.0,Reais
UF,24,Rio Grande do Norte,2017,Mulheres,1854.0,Reais
UF,24,Rio Grande do Norte,2018,Homens,2527.0,Reais
UF,24,Rio Grande do Norte,2018,Mulheres,2045.0,Reais
UF,24,Rio Grande do Norte,2019,Homens,2500.0,Reais
UF,24,Rio Grande do Norte,2019,Mulheres,2098.0,Reais
UF,24,Rio Grande do Norte,2020,Homens,2625.0,Reais
UF,24,Rio Grande do Norte,2020,Mulheres,2330.0,Reais
UF,24,Rio Grande do Norte,2021,Homens,2894.0,Reais
UF,24,Rio Grande do Norte,2021,Mulheres,2069.0,Reais
UF,24,Rio Grande do Norte,2022,Homens,2598.0,Reais
UF,24,Rio Grande do Norte,2022,Mulheres,2116.0,Reais
UF,24,Rio Grande do Norte,2023,Homens,2557.0,Reais
UF,24,Rio Grande do Norte,2023,Mulheres,2250.0,Reais
UF,24,Rio Grande do Norte,2024,Homens,2851.0,Reais
UF,24,Rio Grande do Norte,2024,Mulheres,2401.0,Reais
UF,25,Paraíba,2012,Homens,1938.0,Reais
UF,25,Paraíba,2012,Mulheres,1607.0,Reais
UF,25,Paraíba,2013,Homens,1956.0,Reais
UF,25,Paraíba,2013,Mulheres,1643.0,Reais
UF,25,Paraíba,2014,Homens,2192.0,Reais
UF,25,Paraíba,2014,Mulheres,1881.0,Reais
UF,25,Paraíba,2015,Homens,2288.0,Reais
UF,25,Paraíba,2015,Mulheres,1966.0,Reais
UF,25,Paraíba,2016,Homens,2138.0,Reais
UF,25,Paraíba,2016,Mulheres,1853.0,Reais
UF,25,Paraíba,2017,Homens,2376.0,Reais
UF,25,Paraíba,2017,Mulheres,2065.0,Reais
UF,25,Paraíba,2018,Homens,2264.0,Reais
UF,25,Paraíba,2018,Mulheres,1989.0,Reais
